node_id	crime_count
0	1007
1	34949
2	11925
3	4436
4	1401
5	18168
6	69
7	822
8	419
9	28203
10	4222
11	22061
12	9281
13	3366
14	11026
15	3417
16	3129
17	3342
18	10747
19	835
20	6326
21	31172
22	33783
23	821
24	3024
25	9272
26	3702
27	2620
28	21876
29	5323
30	4240
31	4506
32	15215
33	7979
34	3276
35	6567
36	7619
37	43298
38	367
39	28410
40	61637
41	5635
42	45749
43	7104
44	16291
45	13071
46	4760
47	5684
48	1187
49	887
50	6330
51	14957
52	9177
53	989
54	33
55	5192
56	8358
57	2377
58	7230
59	1984
60	2118
61	273
62	3088
63	7467
64	2525
65	23273
66	11477
67	47817
68	8855
69	7595
70	24671
71	6759
72	9838
73	10079
74	26423
75	35280
76	25465
77	35656
78	1415
79	7540
80	5472
81	9579
82	6327
83	2869
84	7210
85	20746
86	12417
87	5007
88	9128
89	4721
90	5573
91	21804
92	8706
93	26045
94	8308
95	25942
96	13474
97	49930
98	35560
99	24485
100	16112
101	39992
102	69958
103	16432
104	24010
105	23419
106	14911
107	39628
108	12280
109	16206
110	2503
111	16127
112	31611
113	7920
114	9097
115	25254
116	35624
117	1313
118	13266
119	34552
120	7439
121	18269
122	9256
123	5266
124	14477
125	2257
126	4419
127	17732
128	3802
129	30732
130	8472
131	8502
132	33565
133	22259
134	55621
135	23469
136	5338
137	5514
138	58233
139	9930
140	8792
141	891
142	8239
143	8197
144	30039
145	3003
146	2139
147	15235
148	14632
149	7420
150	12096
151	3197
152	12129
153	281
154	14680
155	27910
156	14869
157	9013
